Site,Latitude,Longitude,Palaeolatitude,Palaeolongitude,Depth,Age,Epoch,Stage,AgeModel,GDGTData,ABS_GDGT_0,ABS_GDGT_1,ABS_GDGT_2,ABS_GDGT_3,ABS_Crenarchaeol,ABS_Cren,GDGT_0,GDGT_1,GDGT_2,GDGT_3,Crenarchaeol,Cren
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.03,0.0017682,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),15980,2584,4108,598,23689,2390,0.323816085,0.05236175,0.083243835,0.012117773,0.48002999,0.048430566
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.03,0.0017682,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),16004,2466,2973,809,23879,1261,0.337694126,0.052034099,0.062732107,0.017070392,0.503861411,0.026607866
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.03,0.0017682,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),83670,21135,28398,3142,153736,9003,0.279754183,0.070665766,0.094949914,0.01050541,0.514022816,0.030101911
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.04,0.0021211,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),16488,4247,5064,629,30680,1821,0.279794329,0.072069779,0.08593392,0.010673862,0.520626517,0.030901593
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.04,0.0021211,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),108512,18373,22609,2139,143426,9239,0.356597809,0.060378313,0.074298878,0.007029294,0.471334021,0.030361685
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.04,0.0021211,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),21186,4236,5456,987,40512,2943,0.281279873,0.056240042,0.0724376,0.013104089,0.537865109,0.039073287
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.05,0.0024741,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),8119,1769,1870,387,17670,1172,0.262013102,0.057088456,0.060347888,0.012489108,0.570239133,0.037822313
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.05,0.0024741,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),27130,6769,7488,897,41670,3105,0.311627747,0.077751869,0.086010636,0.010303357,0.478640922,0.035665468
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.05,0.0024741,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),18088,4304,4521,887,36950,2354,0.269551741,0.064139247,0.067373033,0.013218288,0.550637816,0.035079876
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.05,0.0024741,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),168073,43177,51088,6810,396085,32583,0.240855756,0.061874477,0.073211276,0.00975902,0.567606647,0.046692824
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.06,0.0028271,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),177667,43380,56463,7835,446068,36776,0.231280323,0.056470478,0.073501443,0.010199313,0.580674808,0.047873635
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.06,0.0028271,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),198678,52074,62535,9613,431476,34170,0.251954864,0.066037999,0.079304188,0.012190792,0.547179239,0.043332919
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.06,0.0028271,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),159162,43844,51228,6390,367510,27307,0.242831925,0.066892367,0.078158065,0.009749161,0.560706456,0.041662026
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.06,0.0028271,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),204344,59271,69892,8406,495494,36349,0.233868494,0.067834727,0.079990295,0.009620535,0.56708509,0.041600859
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.06,0.0028271,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),211402,60731,74891,8188,572689,44903,0.217312018,0.062428814,0.076984675,0.008416906,0.588699265,0.046158322
07MC (Cocos Ridge),6.24,-86.2,6.2,-86.2,0.06,0.0028271,Holocene,Meghalayan,Marcantonio et al. (2014); Hertzberg et al. (2016),Hertzberg et al. (2016),327614,61962,63857,11312,398618,25148,0.368722503,0.069736897,0.071869679,0.012731412,0.448635976,0.028303533
