Source,Longitude,Latitude,Water_Depth,Core_Name,Temp,GDGT_0,GDGT_1,GDGT_2,GDGT_3,Crenarchaeol,Cren
Tierney and Tingley 2015,122.67,32,30,1,16,0.285,0.059,0.039,0.015,0.596,0.006
Tierney and Tingley 2015,123,32,37,2,16,0.283,0.065,0.043,0.022,0.587,0
Tierney and Tingley 2015,122.33,31.75,23,3,16.8,0.257,0.053,0.037,0.013,0.635,0.005
Tierney and Tingley 2015,123,31.75,36,4,16.8,0.3073,0.0561,0.041,0.014,0.5756,0.006
Tierney and Tingley 2015,123.33,31.75,33,5,17.8,0.3046,0.0581,0.0431,0.014,0.5731,0.007
Tierney and Tingley 2015,122.17,31.5,7,6,16.8,0.432,0.115,0.057,0.021,0.37,0.005
Tierney and Tingley 2015,122.33,31.5,16,7,16.8,0.449,0.029,0.015,0.005,0.5,0.002
Tierney and Tingley 2015,122.5,31.5,28,8,16.8,0.2667,0.0599,0.041,0.015,0.6094,0.008
Tierney and Tingley 2015,122.67,31.5,38,9,16.8,0.273,0.064,0.045,0.018,0.591,0.009
Tierney and Tingley 2015,123,31.5,32,10,16.8,0.2767,0.0629,0.043,0.016,0.5944,0.007
Tierney and Tingley 2015,122.5,31.5,22,11,16.8,0.283,0.05,0.034,0.012,0.613,0.008
Tierney and Tingley 2015,122.67,31.25,37,12,16.8,0.263,0.057,0.04,0.014,0.619,0.007
Tierney and Tingley 2015,122,31.25,7,13,16.8,0.2807,0.0599,0.049,0.017,0.5854,0.008
Tierney and Tingley 2015,122.17,31,8,14,16.8,0.273,0.059,0.044,0.015,0.602,0.007
Tierney and Tingley 2015,122.33,31,8,15,16.8,0.2687,0.0519,0.038,0.013,0.6214,0.007
Tierney and Tingley 2015,122.67,31,20,16,16.8,0.2677,0.0539,0.036,0.013,0.6224,0.007
Tierney and Tingley 2015,122,30.75,10,17,19.7,0.264,0.038,0.046,0.015,0.63,0.007
Tierney and Tingley 2015,122.5,30.75,14,18,19.7,0.2557,0.0529,0.037,0.014,0.6314,0.009
Tierney and Tingley 2015,122.67,30.75,38,19,19.7,0.27,0.06,0.041,0.015,0.606,0.008
Tierney and Tingley 2015,123,30.75,46,20,19.7,0.4456,0.0639,0.0639,0.022,0.3896,0.015
Tierney and Tingley 2015,-48.35,4.04,1088,20,27.4,0.2882,0.0808,0.0861,0.0141,0.4886,0.0422
Tierney and Tingley 2015,122,31,11,21,16.8,0.278,0.056,0.043,0.015,0.601,0.007
Tierney and Tingley 2015,-48.54,3.96,738,21,27.4,0.2606,0.0745,0.0824,0.0133,0.5319,0.0372
Tierney and Tingley 2015,122.33,30.5,24,22,19.7,0.2322,0.0521,0.042,0.015,0.6517,0.007
Tierney and Tingley 2015,122.67,30.5,33,23,19.7,0.243,0.055,0.04,0.014,0.64,0.008
Tierney and Tingley 2015,-49.06,3.68,107,23,27.5,0.2993,0.0743,0.075,0.0102,0.5085,0.0327
Tierney and Tingley 2015,124.5,32,39,24,17.7,0.3606,0.0599,0.038,0.014,0.5175,0.01
Tierney and Tingley 2015,125,32,47,25,17.8,0.3263,0.0581,0.039,0.013,0.5546,0.009
Tierney and Tingley 2015,-49.86,3.19,32,25,27.5,0.1533,0.0499,0.072,0.0441,0.6527,0.0279
Tierney and Tingley 2015,124.5,31.5,44,26,17.7,0.295,0.052,0.035,0.011,0.6,0.007
Tierney and Tingley 2015,125,31.5,48,27,17.7,0.272,0.056,0.04,0.014,0.607,0.011
Tierney and Tingley 2015,122.5,31,18,28,19.7,0.2448,0.0569,0.041,0.015,0.6354,0.007
Tierney and Tingley 2015,122.5,30,18,29,20.2,0.2378,0.0559,0.043,0.016,0.6394,0.008
Tierney and Tingley 2015,124.5,30,68,30,20.5,0.269,0.063,0.047,0.017,0.594,0.01
Tierney and Tingley 2015,123.11,29.47,63,31,20.8,0.2478,0.0629,0.047,0.018,0.6114,0.013
Tierney and Tingley 2015,123.38,29.32,71,32,20.8,0.241,0.063,0.048,0.018,0.615,0.015
Tierney and Tingley 2015,123.8,29.09,77,33,20.8,0.2527,0.0649,0.049,0.018,0.6014,0.014
Tierney and Tingley 2015,122.43,28.29,66,34,21.6,0.241,0.062,0.046,0.017,0.62,0.014
Tierney and Tingley 2015,123.01,33,32,35,16.7,0.39,0.054,0.03,0.01,0.509,0.007
Tierney and Tingley 2015,119.67,35,21,36,13.9,0.387,0.056,0.029,0.011,0.512,0.005
Tierney and Tingley 2015,121,35,37,37,13.9,0.424,0.042,0.019,0.006,0.505,0.004
Tierney and Tingley 2015,123.5,35.01,77,38,15.4,0.428,0.035,0.016,0.005,0.512,0.004
Tierney and Tingley 2015,121.99,36,39,39,15.2,0.432,0.041,0.02,0.005,0.498,0.004
Tierney and Tingley 2015,124.01,33.01,49,40,17.5,0.3197,0.047,0.027,0.009,0.5914,0.006
Tierney and Tingley 2015,124,36,77,41,14.9,0.4625,0.03,0.012,0.004,0.4885,0.003
Tierney and Tingley 2015,125.12,36.92,51,42,13.8,0.471,0.031,0.013,0.004,0.478,0.003
Tierney and Tingley 2015,124.12,36.92,76,43,14.6,0.4635,0.025,0.009,0.004,0.4965,0.002
Tierney and Tingley 2015,-48.05,2.09,65,43,27.8,0.0894,0.0531,0.0761,0.0534,0.7057,0.0224
Tierney and Tingley 2015,123.62,36.92,72,44,14.9,0.521,0.03,0.015,0.005,0.426,0.003
Tierney and Tingley 2015,125.03,35.85,53,45,14.9,0.436,0.027,0.01,0.004,0.519,0.004
Tierney and Tingley 2015,124.03,35.85,77,46,15.2,0.39,0.04,0.023,0.007,0.535,0.005
Tierney and Tingley 2015,121.53,35.85,38,47,15.2,0.391,0.034,0.016,0.005,0.551,0.003
Tierney and Tingley 2015,124.82,34.72,81,48,15.7,0.4264,0.033,0.014,0.004,0.5185,0.004
Tierney and Tingley 2015,123.52,34.72,77,49,16,0.4625,0.034,0.015,0.005,0.4795,0.004
Tierney and Tingley 2015,-45.36,1.64,-999,49,27.4,0.3023,0.0766,0.0766,0.0104,0.5031,0.0311
Tierney and Tingley 2015,121.53,34.72,42,50,15.2,0.39,0.031,0.013,0.004,0.56,0.002
Tierney and Tingley 2015,121.03,34.72,23,51,15.2,0.3666,0.042,0.023,0.006,0.5594,0.003
Tierney and Tingley 2015,125,32.5,58,52,17.8,0.385,0.069,0.044,0.015,0.477,0.01
Tierney and Tingley 2015,125.53,33.57,87,53,18,0.4016,0.0619,0.034,0.012,0.4815,0.009
Tierney and Tingley 2015,124.03,33.57,71,54,17.5,0.421,0.055,0.028,0.006,0.481,0.009
Tierney and Tingley 2015,-44.35,0.66,2372,54,27.4,0.3659,0.064,0.0579,0.0091,0.4787,0.0244
Tierney and Tingley 2015,123.53,33.57,66,55,16.7,0.4494,0.043,0.02,0.007,0.4745,0.006
Tierney and Tingley 2015,122.53,33.57,39,56,15.8,0.3734,0.038,0.019,0.006,0.5596,0.004
Tierney and Tingley 2015,122.03,33.57,24,57,15.8,0.3257,0.046,0.029,0.009,0.5864,0.004
Tierney and Tingley 2015,121.53,33.57,17,58,15.1,0.247,0.053,0.044,0.011,0.641,0.004
Tierney and Tingley 2015,-48.61,4.46,1711,13a,27.4,0.2947,0.0801,0.0883,0.0154,0.4795,0.0421
Tierney and Tingley 2015,-48.61,3.95,640,22b,27.4,0.2995,0.0887,0.0973,0.0171,0.4548,0.0427
Tierney and Tingley 2015,-48.17,3.78,1014,28b,27.4,0.2737,0.0721,0.0792,0.0113,0.5283,0.0354
Tierney and Tingley 2015,-47.64,3.07,1028,32b,27.3,0.272,0.0772,0.0868,0.0127,0.5111,0.0402
Tierney and Tingley 2015,-47.31,3.65,2079,32c,27.3,0.2705,0.0691,0.0763,0.0115,0.5381,0.0345
Tierney and Tingley 2015,-47.74,2.85,609,42b,27.3,0.2693,0.0666,0.0712,0.0155,0.5433,0.0341
Tierney and Tingley 2015,-47.85,2.57,110,42d,27.3,0.1235,0.0671,0.0859,0.0494,0.6459,0.0282
Tierney and Tingley 2015,-46.25,3.39,3375,44c,27.4,0.277,0.0741,0.0748,0.0104,0.5281,0.0356
Tierney and Tingley 2015,-42.74,-1.03,3113,60b,27.1,0.2872,0.0749,0.0769,0.0103,0.519,0.0318
Tierney and Tingley 2015,114.98,21,102,A5,25.8,0.17,0.0597,0.0518,0.0159,0.6826,0.0201
Tierney and Tingley 2015,114.5,21.5,73,A7,25.1,0.1943,0.0548,0.0397,0.0136,0.6863,0.0114
Tierney and Tingley 2015,114,22.01,33,A9,25.1,0.2156,0.0465,0.0297,0.0111,0.69,0.007
Tierney and Tingley 2015,-22.182,-55.278,3926,AII-107-6-17,0.8,0.5008,0.0565,0.0232,0.0054,0.4006,0.0134
Tierney and Tingley 2015,-21.975,-55.27,4119,AII-107-6-18,1,0.4994,0.06,0.0267,0.0046,0.3962,0.0132
